id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-661516,2018-03-29,000001,Vente,170000,5043,,APINOST,B002,69210,69032,Bully,69,,,690320000C0253,,,,,,,,,,,,,0,1,Maison,86,5,S,sols,,,262,4.600847,45.855944
2018-661517,2018-03-30,000001,Vente,1060000,101,,RTE DE PARIS,0790,69160,69244,Tassin-la-Demi-Lune,69,,,69244000AL0354,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,221,0,AG,terrains d'agrément,,,1752,4.756858,45.769325
2018-661517,2018-03-30,000001,Vente,1060000,101,,RTE DE PARIS,0790,69160,69244,Tassin-la-Demi-Lune,69,,,69244000AL0354,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,221,0,S,sols,,,500,4.756858,45.769325
2018-661517,2018-03-30,000001,Vente,1060000,101,,RTE DE PARIS,0790,69160,69244,Tassin-la-Demi-Lune,69,,,69244000AL0354,,,,,,,,,,,,,0,1,Maison,91,4,S,sols,,,500,4.756858,45.769325
2018-661517,2018-03-30,000001,Vente,1060000,101,,RTE DE PARIS,0790,69160,69244,Tassin-la-Demi-Lune,69,,,69244000AL0354,,,,,,,,,,,,,0,1,Maison,91,4,AG,terrains d'agrément,,,1752,4.756858,45.769325
2018-661518,2018-04-03,000001,Vente,154000,5000,,CHE DE QUICURY,0431,69490,69173,Sarcey,69,,,691730000B0296,,,15,48.5,5,,,,,,,,2,2,Appartement,48,2,,,,,,4.547855,45.875019
2018-661518,2018-04-03,000001,Vente,154000,5000,,CHE DE QUICURY,0431,69490,69173,Sarcey,69,,,691730000B0296,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.547855,45.875019
2018-661518,2018-04-03,000001,Vente,154000,5000,,CHE DE QUICURY,0431,69490,69173,Sarcey,69,,,691730000B0296,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.547855,45.875019
2018-661519,2018-03-23,000001,Vente,1,3,,BD DE LA REPUBLIQUE,0280,69410,69040,Champagne-au-Mont-d'Or,69,,,69040000AI0337,,4,,,,,,,,,,,0,,,,,,,,,,4.78723,45.797309
2018-661519,2018-03-23,000001,Vente,1,3,,BD DE LA REPUBLIQUE,0280,69410,69040,Champagne-au-Mont-d'Or,69,,,69040000AI0337,,5,,,,,,,,,,,0,,,,,,,,,,4.78723,45.797309
2018-661519,2018-03-23,000001,Vente,1,3,,BD DE LA REPUBLIQUE,0280,69410,69040,Champagne-au-Mont-d'Or,69,,,69040000AI0337,,6,,,,,,,,,,,0,,,,,,,,,,4.78723,45.797309
