id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-661472,2018-02-15,000001,Vente en l'état futur d'achèvement,110400,,,,,,69081,Écully,69,,,69081000AS0134,,,84,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661473,2018-02-14,000001,Vente en l'état futur d'achèvement,219600,,,,,,69081,Écully,69,,,69081000AS0134,,,27,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661473,2018-02-14,000001,Vente en l'état futur d'achèvement,219600,,,,,,69081,Écully,69,,,69081000AS0134,,,25,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661474,2018-02-08,000001,Vente en l'état futur d'achèvement,109200,,,,,,69081,Écully,69,,,69081000AS0134,,,45,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661475,2018-02-16,000001,Vente en l'état futur d'achèvement,93675.5,,,,,,69081,Écully,69,,,69081000AC0027,,,249,34,,,,,,,,,1,,,,,,,,,,4.7796,45.789991
2018-661475,2018-02-16,000001,Vente en l'état futur d'achèvement,93675.5,,,,,,69081,Écully,69,,,69081000AC0027,,,175,,,,,,,,,,1,,,,,,,,,,4.7796,45.789991
2018-661476,2018-02-05,000001,Vente,275542,16,,RUE DU CHARDONNAY,0140,69210,69032,Bully,69,,,690320000A1327,,,,,,,,,,,,,0,1,Maison,93,5,S,sols,,,786,4.574781,45.855079
2018-661477,2018-02-05,000001,Vente en l'état futur d'achèvement,241900,,,,,,69069,Craponne,69,,,69069000AV0246,,,104,,,,,,,,,,1,,,,,,,,,,4.722695,45.746663
2018-661477,2018-02-05,000001,Vente en l'état futur d'achèvement,241900,,,,,,69069,Craponne,69,,,69069000AV0246,,,68,47.86,,,,,,,,,1,,,,,,,,,,4.722695,45.746663
2018-661478,2018-02-21,000001,Vente en l'état futur d'achèvement,383000,,,,,,69089,Francheville,69,,,69089000BB0009,,,31,,,,,,,,,,1,,,,,,,,,,4.749866,45.747167
2018-661478,2018-02-21,000001,Vente en l'état futur d'achèvement,383000,,,,,,69089,Francheville,69,,,69089000BB0009,,,19,,,,,,,,,,1,,,,,,,,,,4.749866,45.747167
2018-661478,2018-02-21,000001,Vente en l'état futur d'achèvement,383000,,,,,,69089,Francheville,69,,,69089000BB0009,,,30,,,,,,,,,,1,,,,,,,,,,4.749866,45.747167
2018-661479,2018-02-20,000001,Vente en l'état futur d'achèvement,580140,,,,,,69244,Tassin-la-Demi-Lune,69,,,69244000AH0049,,,27,,,,,,,,,,1,,,,,,,,,,4.766994,45.752244
2018-661479,2018-02-20,000001,Vente en l'état futur d'achèvement,580140,,,,,,69244,Tassin-la-Demi-Lune,69,,,69244000AH0049,,,42,,,,,,,,,,1,,,,,,,,,,4.766994,45.752244
2018-661479,2018-02-20,000001,Vente en l'état futur d'achèvement,580140,,,,,,69244,Tassin-la-Demi-Lune,69,,,69244000AH0049,,,45,,,,,,,,,,1,,,,,,,,,,4.766994,45.752244
2018-661480,2018-02-26,000001,Vente en l'état futur d'achèvement,293000,,,,,,69069,Craponne,69,,,69069000AW0272,,,22,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661480,2018-02-26,000001,Vente en l'état futur d'achèvement,293000,,,,,,69069,Craponne,69,,,69069000AW0272,,,42,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661480,2018-02-26,000001,Vente en l'état futur d'achèvement,293000,,,,,,69069,Craponne,69,,,69069000AW0272,,,14,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661480,2018-02-26,000001,Vente en l'état futur d'achèvement,293000,,,,,,69069,Craponne,69,,,69069000AW0272,,,46,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661481,2018-02-28,000001,Vente en l'état futur d'achèvement,360000,,,,,,69069,Craponne,69,,,69069000AW0272,,,15,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661481,2018-02-28,000001,Vente en l'état futur d'achèvement,360000,,,,,,69069,Craponne,69,,,69069000AW0272,,,19,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661481,2018-02-28,000001,Vente en l'état futur d'achèvement,360000,,,,,,69069,Craponne,69,,,69069000AW0272,,,43,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661481,2018-02-28,000001,Vente en l'état futur d'achèvement,360000,,,,,,69069,Craponne,69,,,69069000AW0272,,,18,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661482,2018-02-21,000001,Vente en l'état futur d'achèvement,275000,,,,,,69069,Craponne,69,,,69069000AW0272,,,25,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661482,2018-02-21,000001,Vente en l'état futur d'achèvement,275000,,,,,,69069,Craponne,69,,,69069000AW0272,,,5,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661482,2018-02-21,000001,Vente en l'état futur d'achèvement,275000,,,,,,69069,Craponne,69,,,69069000AW0272,,,26,,,,,,,,,,1,,,,,,,,,,4.719636,45.74671
2018-661483,2018-02-14,000001,Vente en l'état futur d'achèvement,291000,,,,,,69154,Pollionnay,69,,,69154000AI0098,,,36,,,,,,,,,,1,,,,,,,,,,4.662849,45.764623
2018-661484,2018-02-09,000001,Vente en l'état futur d'achèvement,10000,,,,,,69072,Dardilly,69,,,69072000AP0126,,,45,,,,,,,,,,1,,,,,,,,,,4.750621,45.818139
2018-661485,2018-02-20,000001,Vente en l'état futur d'achèvement,219000,,,,,,69072,Dardilly,69,,,69072000AZ0085,,,49,,,,,,,,,,1,,,,,,,,,,,
2018-661485,2018-02-20,000001,Vente en l'état futur d'achèvement,219000,,,,,,69072,Dardilly,69,,,69072000AZ0085,,,94,,,,,,,,,,1,,,,,,,,,,,
2018-661485,2018-02-20,000001,Vente en l'état futur d'achèvement,219000,,,,,,69072,Dardilly,69,,,69072000AZ0085,,,112,,,,,,,,,,1,,,,,,,,,,,
2018-661486,2018-03-06,000001,Vente,10000,125,,AV PIERRE DUMOND,0740,69290,69069,Craponne,69,,,69069000AW0017,,,65,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.718613,45.74694
2018-661487,2018-02-16,000001,Vente en l'état futur d'achèvement,283500,,,,,,69154,Pollionnay,69,,,69154000AI0098,,,39,,,,,,,,,,1,,,,,,,,,,4.662849,45.764623
2018-661488,2018-03-06,000001,Vente,226900,15,,CHE DE ROCHEBOZON,0840,69660,69063,Collonges-au-Mont-d'Or,69,,,69063000AH0317,,,16,,2,70.61,,,,,,,2,2,Appartement,72,3,,,,,,4.840895,45.809483
2018-661488,2018-03-06,000001,Vente,226900,15,,CHE DE ROCHEBOZON,0840,69660,69063,Collonges-au-Mont-d'Or,69,,,69063000AH0317,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.840895,45.809483
2018-661489,2018-02-21,000001,Vente en l'état futur d'achèvement,250000,,,,,,69069,Craponne,69,,,69069000AP0114,,,4,,,,,,,,,,1,,,,,,,,,,4.741085,45.74567
2018-661489,2018-02-21,000001,Vente en l'état futur d'achèvement,250000,,,,,,69069,Craponne,69,,,69069000AP0114,,,46,,,,,,,,,,1,,,,,,,,,,4.741085,45.74567
2018-661490,2018-03-06,000001,Vente,140000,5542,,LE PIONNIER SUD,B039,69770,69139,Montrottier,69,,,69139000AL0194,,,,,,,,,,,,,0,1,Maison,150,5,AG,terrains d'agrément,,,850,4.459852,45.816402
2018-661490,2018-03-06,000001,Vente,140000,5542,,LE PIONNIER SUD,B039,69770,69139,Montrottier,69,,,69139000AL0194,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,843,4.459852,45.816402
2018-661491,2018-02-21,000001,Vente en l'état futur d'achèvement,123600,,,,,,69081,Écully,69,,,69081000AS0134,,,96,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661492,2018-02-19,000001,Vente en l'état futur d'achèvement,186000,,,,,,69081,Écully,69,,,69081000AS0134,,,90,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661492,2018-02-19,000001,Vente en l'état futur d'achèvement,186000,,,,,,69081,Écully,69,,,69081000AS0134,,,145,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661493,2018-02-23,000001,Vente en l'état futur d'achèvement,109200,,,,,,69081,Écully,69,,,69081000AS0134,,,23,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661494,2018-02-20,000001,Vente en l'état futur d'achèvement,182400,,,,,,69081,Écully,69,,,69081000AS0134,,,103,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661495,2018-02-26,000001,Vente,550000,,,CRECY NORD,B020,69370,69194,Saint-Didier-au-Mont-d'Or,69,,,69194000AM0056,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,1591,4.805989,45.802946
2018-661495,2018-02-26,000001,Vente,550000,4,,IMP DES ALOUETTES,0033,69370,69194,Saint-Didier-au-Mont-d'Or,69,,,69194000AM0062,,,,,,,,,,,,,0,1,Maison,106,6,S,sols,,,1125,4.805105,45.803345
2018-661496,2018-02-19,000001,Vente en l'état futur d'achèvement,196800,,,,,,69081,Écully,69,,,69081000AS0134,,,161,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
